school_year,dpi_true_id,school_name,accurate_agency_type,overall_score,overall_rating,school_enrollment,sch_ach,sch_growth,sch_cg,sch_tgo,sch_ot,cfc_score,cfc_rating,cfc_ssm_score,cfc_ssm_rating,cfc_milwaukee_indicator
2018-19,4620_0112,O Brown Elementary,Traditional Public,59.3,Meets Few Expectations,454,50,36.6,67,NA,86.1,NA,NA,NA,NA,0
2018-19,4620_0494,Park High,Traditional Public,69.5,Meets Expectations^,1324,22.1,86.9,63.9,NA,72.9,NA,NA,NA,NA,0
2018-19,4620_0801,Racine Alternative Learning,Traditional Public,NA,Alternate Rating - Satisfactory Progress,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,4620_0174,Red Apple Elementary,Traditional Public,71.8,Meets Expectations,386,64.1,51.8,88.2,NA,88.7,NA,NA,NA,NA,0
2018-19,4620_0154,Roosevelt Elementary,Traditional Public,60.5,Meets Few Expectations,340,27.6,48.9,70.1,NA,78.3,NA,NA,NA,NA,0
2018-19,4620_0101,RUSD Montessori,Traditional Public,NA,Alternate Rating - Satisfactory Progress,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,4620_0166,Schulte Elementary,Traditional Public,63.7,Meets Expectations^,422,52.7,45.1,76,NA,84.5,NA,NA,NA,NA,0
2018-19,4620_0288,Starbuck - An IB World School,Traditional Public,47.6,Fails to Meet Expectations,662,25.6,30.9,75,NA,74.5,NA,NA,NA,NA,0
2018-19,4620_0800,The REAL School-Racine Educational Alternative Learning Experience,Traditional Public,67.8,Meets Expectations,504,50.8,64.2,67.2,NA,86.3,NA,NA,NA,NA,0
2018-19,4620_0162,Wadewitz Elementary,Traditional Public,81.5,Exceeds Expectations,551,41.2,81.2,92.4,NA,79.2,NA,NA,NA,NA,0
2018-19,4620_0499,Walden III High,Traditional Public,76.9,Exceeds Expectations,628,67.2,70.8,81.9,NA,87.8,NA,NA,NA,NA,0
2018-19,4620_0164,West Ridge Elementary,Traditional Public,59.3,Meets Few Expectations,369,32.8,49,62.9,NA,79.5,NA,NA,NA,NA,0
2018-19,4627_0020,Randall Consolidated School,Traditional Public,78.3,Exceeds Expectations,732,80.1,72.7,69.2,NA,89.9,NA,NA,NA,NA,0
2018-19,4634_0020,Randolph Elementary,Traditional Public,75.1,Exceeds Expectations,385,65.2,69.8,75.8,NA,89.3,NA,NA,NA,NA,0
2018-19,4634_0040,Randolph High,Traditional Public,70.2,Meets Expectations,168,65.3,64.2,62.5,NA,94.6,NA,NA,NA,NA,0
2018-19,0000_2380,Randolph Christian School,Private,NA,NR-DATA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,4641_0060,Random Lake Elementary,Traditional Public,75.1,Exceeds Expectations,266,66.7,77.5,67.9,NA,89,NA,NA,NA,NA,0
2018-19,4641_0080,Random Lake High,Traditional Public,76.5,Exceeds Expectations,254,70.8,59.4,81.6,NA,94.5,NA,NA,NA,NA,0
2018-19,4641_0020,Random Lake Middle,Traditional Public,74.6,Exceeds Expectations,221,72,66,69.4,NA,90.8,NA,NA,NA,NA,0
2018-19,4686_0020,Raymond Elementary,Traditional Public,83.5,Significantly Exceeds Expectations,412,81.4,78.4,78.9,NA,93.2,NA,NA,NA,NA,0
2018-19,4753_0020,Ironton-La Valle Elementary,Traditional Public,NA,Alternate Rating - Satisfactory Progress,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,4753_0040,Loganville Elementary,Traditional Public,NA,Alternate Rating - Satisfactory Progress,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,4753_0180,Pineview Elementary,Traditional Public,70.6,Meets Expectations,582,62.4,67,NA,NA,85.6,NA,NA,NA,NA,0
2018-19,4753_0080,Reedsburg Area High,Traditional Public,67.7,Meets Expectations,930,60.5,51.8,71.1,NA,94.5,NA,NA,NA,NA,0
2018-19,4753_0140,South Elementary,Traditional Public,65.4,Meets Expectations^,237,58.2,NA,NA,NA,86.9,NA,NA,NA,NA,0
2018-19,4753_0100,Webb Middle,Traditional Public,79.3,Exceeds Expectations,599,68.5,74.6,85.6,NA,86.8,NA,NA,NA,NA,0
2018-19,4753_0160,West Side Elementary,Traditional Public,66.8,Meets Expectations,282,59.3,NA,60.6,NA,87.4,NA,NA,NA,NA,0
2018-19,4760_0020,Reedsville Elementary,Traditional Public,69.2,Meets Expectations,215,75,37.6,64.7,NA,93.3,NA,NA,NA,NA,0
2018-19,4760_0040,Reedsville High,Traditional Public,68.3,Meets Expectations,195,71,45.2,61.7,NA,92.9,NA,NA,NA,NA,0
2018-19,4760_0060,Reedsville Middle,Traditional Public,80.1,Exceeds Expectations,167,75.5,74.6,NA,NA,94.8,NA,NA,NA,NA,0
2018-19,0000_2440,Regis High,Private,NA,NR-DATA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,0000_1183,Regis Middle,Private,NA,NR-DATA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,0000_1619,Renaissance School,Private,71,Meets Expectations,345,38.4,72.7,63.5,NA,81.9,NA,NA,NA,NA,0
